Camera,Peromyscus,Scrub Jay,Spotted Towhee,CHSP,Chipmunk,Neotoma,Cottontail,Rock squirrel,Sceloporus,Whiptail,Elk,Raven,Bluebird,Robin,Horned lizard,Junco,Grey fox,Snake,Jackrabbit,Deer,Turkey,ATFL,Mourning Dove,rich,Cluster,Treatment,Site,Lzeq,Laeq,Lux,Lat,Long,Elevation,Landcover,M_Illum,JDay
CP08_1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Control,CP08,67.4,46.1,0,36.987999,-107.655938,2121.321289,Woodland,0.015014101,154.8235294
CP08_10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Control,CP08,67.9,41.3,0,36.988491,-107.655288,2126.914062,Woodland,0.018058553,155
CP08_2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Control,CP08,69,48.6,0,36.987952,-107.656084,2121.768799,Woodland,0.004463214,153.8978102
CP08_3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Control,CP08,65.6,44.3,0,36.988435,-107.657437,2116.008057,Woodland,0.006411727,153.6206897
CP08_4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Control,CP08,65.6,39.9,0,36.988487,-107.657251,2113.92749,Shrubland,0.033606418,152
CP08_5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Control,CP08,67.7,41.4,0,36.989053,-107.65713,2119.404785,Woodland,0.013501448,154.7358491
CP08_6,65,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,Red,Control,CP08,65.8,42,0,36.989188,-107.657307,2124.029785,Woodland,0.004720642,153.7375
CP08_7,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Control,CP08,64.8,40.2,0,36.989807,-107.656076,2128.015625,Woodland,0.00989368,153.6923077
CP08_8,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Red,Control,CP08,68,41.7,0,36.989832,-107.655832,2126.453125,Woodland,0.004314473,153.3333333
CP10_1,8,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,Pink,Control,CP10,67.4,41.1,0,36.96761699,-107.709903,2072.937744,Woodland,0.301198099,159.1875
CP10_10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Control,CP10,67.1,39.8,0,36.99618302,-107.709129,2015.406006,Shrubland,0.358045285,159.75
CP10_2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,Pink,Control,CP10,67.2,37.2,0,36.96792503,-107.709837,2071.87085,Woodland,0.312418351,159.2857143
CP10_3,65,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Pink,Control,CP10,66.5,40.2,0,36.96845502,-107.709448,2073.794922,Woodland,0.311884462,159.28
CP10_4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Pink,Control,CP10,67.3,38,0,36.96866297,-107.709355,2075.28418,Woodland,0.237373357,158.5
CP10_5,3,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Pink,Control,CP10,63.4,31.4,0,36.96788203,-107.708041,2069.844238,Shrubland,0.273272728,158.8947368
CP10_6,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Control,CP10,64,33.7,0,36.96782503,-107.707758,2070.706543,Shrubland,0.382424955,160
CP10_7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Control,CP10,63.4,33.9,0,36.96720896,-107.708416,2071.375488,Woodland,0.382424955,160
CP10_8,6,0,0,0,0,0,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Pink,Control,CP10,64.1,34.8,0,36.96731399,-107.708643,2073.971436,Shrubland,0.335538888,159.527027
CP10_9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Control,CP10,66.1,44.5,0,36.96709396,-107.709471,2067.435059,Shrubland,0.116010681,157
CP11_1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Control,CP11,62.5,60.2,0,36.88536001,-107.717687,1937.166138,Shrubland,0.930824457,171
CP11_10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Control,CP11,66.3,32.4,0,36.88599603,-107.716604,1946.014282,Shrubland,0.974693497,170
CP11_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Control,CP11,58.8,39.7,0,36.88531903,-107.719425,1934.931396,Shrubland,0.997153863,169
CP11_5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Control,CP11,62.1,35.3,0,36.88639099,-107.718898,1934.455688,Woodland,0.997192591,168
CP11_6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Yellow,Control,CP11,62.9,34.9,0,36.88658,-107.71872,1939.123901,Woodland,0.974693497,170
CP11_7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Control,CP11,74.5,37.9,0,36.88652099,-107.717291,1950.022217,Shrubland,0.997186136,168.1666667
CP11_8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Yellow,Control,CP11,58.5,33.6,0,36.88649601,-107.717084,1947.340576,Shrubland,0.985933362,169.25
CP11_9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Control,CP11,65.1,33.5,0,36.88585597,-107.716822,1945.544678,Shrubland,0.997153863,169
CP12_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yellow,Light,CP12,76.9,42.7,0.01,36.89391701,-107.676618,1983.367676,Shrubland,0.974693497,170
CP12_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Yellow,Light,CP12,64.3,37.8,0.02,36.893957,-107.676841,1980.737183,Shrubland,0.974693497,170
CP12_4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Yellow,Light,CP12,63.4,43.2,0.14,36.89471204,-107.675932,1981.420044,Shrubland,0.993416923,169
CP12_5,32,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Yellow,Light,CP12,63,42.9,0.17,36.893655,-107.675032,1967.27417,Shrubland,0.95944016,170.2790698
CP12_6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Light,CP12,67.1,59.4,0,36.89356598,-107.674842,1966.196167,Shrubland,0.98592368,169.5
CP12_8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Light,CP12,68,40,0.17,36.89223703,-107.674265,1974.718628,Shrubland,0.997153863,169
PC1_1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Light,PC1,60,34.4,0,36.99694896,-107.708673,2023.299683,Shrubland,0.335488721,159.5277778
PC1_10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Light,PC1,56.7,45.3,0.5,36.99618302,-107.709129,2015.406006,Shrubland,0.382424955,160
PC1_2,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,Pink,Light,PC1,68.7,40.4,0.03,36.997028,-107.708346,2027.54248,Shrubland,0.32535671,159.375
PC1_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Light,PC1,60.6,34.4,0,36.99648896,-107.707843,2032.205933,Shrubland,0.382424955,160
PC1_5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,Pink,Light,PC1,58.1,32.8,0.07,36.99569302,-107.707755,2035.093628,Shrubland,0.200525191,158.0185185
PC1_6,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Light,PC1,59.6,50.7,0.09,36.99560501,-107.707971,2027.785767,Shrubland,0.230555757,158.3333333
PC1_7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Light,PC1,64,39.4,0,36.99511701,-107.708827,2022.853882,Shrubland,0.28245344,159
PC1_9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pink,Light,PC1,56.9,42,0.53,36.99612703,-107.709066,2019.673096,Shrubland,0.268345947,158.8
PC13_1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Light,PC13,60,33.8,0.13,36.967131,-107.666737,2098.110352,Shrubland,0.003495983,153.4888889
PC13_10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Light,PC13,77.4,41.5,0,36.966319,-107.66827,2095.997559,Shrubland,0.01750204,154.9677419
PC13_2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Red,Light,PC13,56.6,40.7,0.11,36.967179,-107.666515,2100.031738,Woodland,0.023522067,152.3661972
PC13_3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Light,PC13,56.8,32.6,0,36.967931,-107.666066,2093.22168,Shrubland,0.008311197,154
PC13_4,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Light,PC13,55.2,36.6,0.02,36.967766,-107.666157,2093.049072,Woodland,0.007390519,153.6538462
PC13_7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,Red,Light,PC13,79.1,42.4,0.04,36.967193,-107.668581,2099.083984,Shrubland,0.012063467,154
PC13_8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Light,PC13,62.4,37.9,0.16,36.966984,-107.668481,2098.174561,Shrubland,0.000806658,154
PC13_9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,Red,Light,PC13,78.3,41.8,0.82,36.966455,-107.668346,2094.753662,Shrubland,0.002375012,154.0909091
PC3_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orange,Noise,PC3,78,43.6,0,36.91748,-107.70198,NA,Woodland,0.695138828,163
PC3_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orange,Noise,PC3,75.1,44.1,0,36.91627,-107.70203,NA,Shrubland,0.487699103,161
PC3_7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,Orange,Noise,PC3,78.4,53.4,0,36.91599,-107.70065,NA,Woodland,0.763646267,163.75
PC3_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,Orange,Noise,PC3,76.1,50.8,0,36.91576,-107.70064,NA,Woodland,0.644333425,162.5
PC6_2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Green,Light,PC6,67.8,35.4,0.24,36.92249402,-107.66165,2036.502563,Woodland,0.487334492,176
PC6_4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Green,Light,PC6,69.8,40.4,0.26,36.92318897,-107.662043,2042.426636,Woodland,0.522612898,175.6666667
PC6_5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Green,Light,PC6,68.2,35.6,0,36.923525,-107.660588,2040.5802,Woodland,0.694802975,174
PC6_7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Green,Light,PC6,66.9,37.3,0.27,36.92323498,-107.659766,2037.902344,Woodland,0.487334492,176
PC6_9,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Green,Light,PC6,67.2,39.9,0.44,36.92116801,-107.660746,2038.372925,Woodland,0.694802975,174
PT11_10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Yellow,Combined,PT11,77.4,42.6,0.04,36.90284299,-107.711572,1966.817871,Shrubland,0.997153863,169
PT11_3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Combined,PT11,73.9,38.5,0.05,36.90167698,-107.713129,1949.243408,Shrubland,0.960310205,170.3278689
PT11_4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Combined,PT11,72.3,38.9,0.19,36.90148403,-107.713104,1952.583496,Shrubland,0.938800646,170.8181818
PT11_5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Yellow,Combined,PT11,73.4,44.4,0.04,36.90129602,-107.712578,1953.16748,Shrubland,0.989667074,169.3333333
PT11_9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yellow,Combined,PT11,79.2,44.6,0.09,36.90263797,-107.71157,1963.943481,Shrubland,0.974693497,170
PT13_1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,67.9,51.5,0,36.894939,-107.615749,1991.038208,Woodland,0.328083776,148
PT13_2,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,63.5,47.5,0,36.89499,-107.616009,1994.944946,Woodland,0.265138429,148.6842105
PT13_3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,66.1,49.9,0,36.89512,-107.614508,1982.469849,Woodland,0.335145844,148
PT13_4,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,64.9,49.2,0,36.895261,-107.614259,1983.419312,Woodland,0.272724856,148.6041667
PT13_5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,67.4,45.6,0,36.893808,-107.613491,1968.188843,Woodland,0.268905644,148.6363636
PT13_6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,66.6,46.4,0,36.893615,-107.613558,1974.77771,Woodland,0.228191015,149.0555556
PT13_7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,71.9,55.4,0,36.893613,-107.613583,NA,Woodland,0.233523142,149
PT13_8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,73,57.2,0,36.893516,-107.614514,NA,Shrubland,0.247588047,148.862069
PT13_9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Noise,PT13,72.6,56.7,0,36.893543,-107.614798,NA,Woodland,0.309559159,148.1944444
PT14_10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Combined,PT14,70.2,39.2,0,36.996144,-107.709095,2097.33,Shrubland,0.000806658,154
PT14_2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Combined,PT14,69.2,53,0,36.963854,-107.677952,2097.099121,Shrubland,0.006068381,153
PT14_3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Red,Combined,PT14,64.7,55.6,0.21,36.963777,-107.676806,2094.884277,Shrubland,0.028186014,152.4285714
PT14_4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Combined,PT14,62.1,44.8,0.24,36.963619,-107.676743,2090.66333,Shrubland,0.006068381,153
PT14_6,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Red,Combined,PT14,68.3,50.6,0.22,36.964463,-107.676144,2098.027588,Shrubland,0.007987676,153.4259259
PT14_7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Combined,PT14,67.1,51,0,36.964901,-107.677331,2095.967773,Shrubland,0.018058553,155
PT14_8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Combined,PT14,72.8,55.9,0.02,36.964808,-107.677598,2100.176514,Shrubland,0.002560565,153.6666667
PT15_1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Noise,PT15,63.5,45.2,0,36.969214,-107.658381,2085.006104,Woodland,0.006435062,154
PT15_2,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Noise,PT15,64,43.4,0,36.969426,-107.658382,2083.903076,Woodland,0.014341821,154.6929825
PT15_3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,Red,Noise,PT15,68,45.6,0,36.969796,-107.657415,2095.417236,Woodland,0.017118722,152.7142857
PT15_4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,Red,Noise,PT15,60.6,38.5,0,36.969891,-107.657244,2091.762695,Woodland,0.005898146,153.5324675
PT15_5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Noise,PT15,60.9,35.5,0,36.969549,-107.656551,2077.89624,Woodland,0.014330366,154.7647059
PT15_6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Noise,PT15,59.3,39.6,0,36.969646,-107.656244,2073.686768,Woodland,0.010664883,154.5714286
PT15_7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Noise,PT15,67.2,48.7,0,36.968431,-107.657144,2095.385986,Woodland,0.007944057,154.1794872
PT15_8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,Noise,PT15,65.8,45.5,0,36.968199,-107.656928,2097.384766,Woodland,0.014949564,154.25
TP02_1,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,Combined,TP02,65.3,46.8,0,36.864738,-107.649328,1901.289429,Woodland,0.338393347,147.921875
TP02_10,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Combined,TP02,64.3,45.3,0.15,36.864443,-107.650767,1898.742432,Shrubland,0.232814314,149
TP02_2,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Combined,TP02,66.8,49.9,0.1,36.864557,-107.649417,1903.849976,Woodland,0.252085841,148.8333333
TP02_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,Blue,Combined,TP02,70.8,40.4,0.8,36.864895,-107.647454,1894.578003,Shrubland,0.328083776,148
TP02_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,Blue,Combined,TP02,78.8,44.9,0,36.86497,-107.647627,1898.693726,Shrubland,0.328083776,148
TP02_5,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Combined,TP02,69.5,46.5,0.67,36.863232,-107.64862,1915.054932,Shrubland,0.226130408,149.0833333
TP02_7,260,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,Combined,TP02,67.5,42.1,0.06,36.862578,-107.649958,1910.536987,Woodland,0.310609143,148.2145594
TP02_8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Combined,TP02,67.5,42.6,0.03,36.862514,-107.65013,1914.259888,Woodland,0.207082864,149.3333333
TP04_6,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orange,Combined,TP04,71.9,51.3,0.53,36.90863,-107.70923,NA,Shrubland,0.635025802,162.425
